==========================================================
     YouTube 专用优选网速排名（第一行最适合看视频）
==========================================================

NO.1 | 流媒体网速: 15.91 MB/s | IP地址: 45.147.48.93:443 | 地区: 未知地区
NO.102 | 流媒体网速: 18 KB/s | IP地址: 178.104.145.65:443 | 地区: 未知地区
NO.103 | 流媒体网速: 15 KB/s | IP地址: 45.152.65.100:443 | 地区: 未知地区
NO.104 | 流媒体网速: 12 KB/s | IP地址: 85.237.207.72:443 | 地区: 未知地区
NO.105 | 流媒体网速: 12 KB/s | IP地址: 91.98.33.75:8443 | 地区: 未知地区
NO.106 | 流媒体网速: 12 KB/s | IP地址: 57.129.81.233:2053 | 地区: 未知地区
NO.107 | 流媒体网速: 11 KB/s | IP地址: 103.158.117.226:443 | 地区: 未知地区
NO.108 | 流媒体网速: 7 KB/s | IP地址: 116.202.14.249:8443 | 地区: 未知地区
NO.109 | 流媒体网速: 5 KB/s | IP地址: 91.107.189.32:443 | 地区: 未知地区
NO.110 | 流媒体网速: 4 KB/s | IP地址: 91.99.161.159:443 | 地区: 未知地区
NO.111 | 流媒体网速: 3 KB/s | IP地址: 135.125.202.69:8443 | 地区: 未知地区
