==========================================================
     YouTube 专用优选网速排名（第一行最适合看视频）
==========================================================

NO.1 | 流媒体网速: 28.41 MB/s | IP地址: 167.148.203.71:443 | 地区: HK
NO.104 | 流媒体网速: 23.08 MB/s | IP地址: 140.245.97.215:443 | 地区: SG
NO.105 | 流媒体网速: 23.05 MB/s | IP地址: 168.144.39.64:443 | 地区: SG
NO.106 | 流媒体网速: 23.04 MB/s | IP地址: 157.230.44.151:443 | 地区: SG
NO.107 | 流媒体网速: 23.02 MB/s | IP地址: 146.190.102.51:443 | 地区: SG
NO.108 | 流媒体网速: 22.98 MB/s | IP地址: 159.65.141.109:443 | 地区: SG
NO.109 | 流媒体网速: 22.95 MB/s | IP地址: 16.163.174.115:443 | 地区: HK
NO.110 | 流媒体网速: 22.86 MB/s | IP地址: 131.143.214.247:8443 | 地区: JP
NO.111 | 流媒体网速: 22.86 MB/s | IP地址: 168.144.47.94:443 | 地区: SG
NO.112 | 流媒体网速: 22.84 MB/s | IP地址: 45.192.200.133:8443 | 地区: JP
NO.113 | 流媒体网速: 22.81 MB/s | IP地址: 159.89.203.141:443 | 地区: SG
NO.114 | 流媒体网速: 22.80 MB/s | IP地址: 152.42.175.157:443 | 地区: SG
NO.115 | 流媒体网速: 22.77 MB/s | IP地址: 152.42.235.119:443 | 地区: SG
NO.116 | 流媒体网速: 22.76 MB/s | IP地址: 157.245.155.10:443 | 地区: SG
NO.117 | 流媒体网速: 22.67 MB/s | IP地址: 152.42.198.190:443 | 地区: SG
NO.118 | 流媒体网速: 22.67 MB/s | IP地址: 13.193.212.73:443 | 地区: JP
NO.119 | 流媒体网速: 22.66 MB/s | IP地址: 165.22.102.89:443 | 地区: SG
NO.120 | 流媒体网速: 22.62 MB/s | IP地址: 45.202.254.216:443 | 地区: JP
NO.121 | 流媒体网速: 22.59 MB/s | IP地址: 45.221.115.170:443 | 地区: HK
NO.122 | 流媒体网速: 22.54 MB/s | IP地址: 152.42.174.66:443 | 地区: SG
NO.123 | 流媒体网速: 22.53 MB/s | IP地址: 155.117.82.92:443 | 地区: HK
NO.124 | 流媒体网速: 22.50 MB/s | IP地址: 161.118.198.6:8443 | 地区: SG
NO.125 | 流媒体网速: 22.47 MB/s | IP地址: 159.223.88.166:443 | 地区: SG
NO.126 | 流媒体网速: 22.46 MB/s | IP地址: 165.245.178.114:443 | 地区: SG
NO.127 | 流媒体网速: 22.43 MB/s | IP地址: 167.172.68.31:443 | 地区: SG
NO.128 | 流媒体网速: 22.42 MB/s | IP地址: 157.245.151.248:443 | 地区: SG
NO.129 | 流媒体网速: 22.39 MB/s | IP地址: 161.118.227.139:8443 | 地区: SG
NO.130 | 流媒体网速: 22.37 MB/s | IP地址: 165.245.184.76:443 | 地区: SG
NO.131 | 流媒体网速: 22.36 MB/s | IP地址: 185.115.207.141:443 | 地区: SG
NO.132 | 流媒体网速: 22.34 MB/s | IP地址: 165.22.59.251:443 | 地区: SG
NO.133 | 流媒体网速: 22.23 MB/s | IP地址: 161.118.235.148:443 | 地区: SG
NO.134 | 流媒体网速: 22.19 MB/s | IP地址: 157.230.255.59:443 | 地区: SG
NO.135 | 流媒体网速: 22.15 MB/s | IP地址: 168.144.96.147:443 | 地区: SG
NO.136 | 流媒体网速: 22.14 MB/s | IP地址: 152.42.231.213:443 | 地区: SG
NO.137 | 流媒体网速: 22.14 MB/s | IP地址: 159.65.8.14:443 | 地区: SG
NO.138 | 流媒体网速: 22.09 MB/s | IP地址: 103.27.186.195:443 | 地区: JP
NO.139 | 流媒体网速: 22.07 MB/s | IP地址: 167.71.203.125:443 | 地区: SG
NO.140 | 流媒体网速: 22.02 MB/s | IP地址: 154.19.187.190:443 | 地区: JP
NO.141 | 流媒体网速: 22.02 MB/s | IP地址: 154.3.35.193:2083 | 地区: HK
NO.142 | 流媒体网速: 21.99 MB/s | IP地址: 168.144.44.150:443 | 地区: SG
NO.143 | 流媒体网速: 21.96 MB/s | IP地址: 160.191.50.99:443 | 地区: VN
NO.144 | 流媒体网速: 21.94 MB/s | IP地址: 155.117.224.127:443 | 地区: HK
NO.145 | 流媒体网速: 21.92 MB/s | IP地址: 129.212.225.217:443 | 地区: SG
NO.146 | 流媒体网速: 21.90 MB/s | IP地址: 178.128.99.226:443 | 地区: SG
NO.147 | 流媒体网速: 21.90 MB/s | IP地址: 165.22.106.241:443 | 地区: SG
NO.148 | 流媒体网速: 21.85 MB/s | IP地址: 165.232.161.8:443 | 地区: SG
NO.149 | 流媒体网速: 21.82 MB/s | IP地址: 103.85.27.26:443 | 地区: JP
NO.150 | 流媒体网速: 21.81 MB/s | IP地址: 141.11.43.55:443 | 地区: SG
NO.151 | 流媒体网速: 21.78 MB/s | IP地址: 128.199.119.5:443 | 地区: SG
NO.152 | 流媒体网速: 21.76 MB/s | IP地址: 45.202.254.133:443 | 地区: JP
NO.153 | 流媒体网速: 21.70 MB/s | IP地址: 185.115.207.102:443 | 地区: SG
NO.154 | 流媒体网速: 21.68 MB/s | IP地址: 168.144.97.250:443 | 地区: SG
NO.155 | 流媒体网速: 21.61 MB/s | IP地址: 157.245.54.118:8443 | 地区: SG
NO.156 | 流媒体网速: 21.61 MB/s | IP地址: 159.65.143.223:443 | 地区: SG
NO.157 | 流媒体网速: 21.59 MB/s | IP地址: 160.187.141.61:443 | 地区: SG
NO.158 | 流媒体网速: 21.56 MB/s | IP地址: 152.42.212.65:443 | 地区: SG
NO.159 | 流媒体网速: 21.54 MB/s | IP地址: 152.42.254.219:443 | 地区: SG
NO.160 | 流媒体网速: 21.46 MB/s | IP地址: 152.42.161.156:443 | 地区: SG
NO.161 | 流媒体网速: 21.45 MB/s | IP地址: 161.33.138.142:443 | 地区: JP
NO.162 | 流媒体网速: 21.38 MB/s | IP地址: 103.195.191.165:443 | 地区: SG
NO.163 | 流媒体网速: 21.37 MB/s | IP地址: 160.191.77.194:443 | 地区: SG
NO.164 | 流媒体网速: 21.30 MB/s | IP地址: 161.33.15.101:443 | 地区: JP
NO.165 | 流媒体网速: 21.28 MB/s | IP地址: 128.199.82.20:443 | 地区: SG
NO.166 | 流媒体网速: 21.27 MB/s | IP地址: 45.39.199.233:8443 | 地区: HK
NO.167 | 流媒体网速: 21.21 MB/s | IP地址: 165.22.104.36:443 | 地区: SG
NO.168 | 流媒体网速: 21.18 MB/s | IP地址: 161.33.148.146:443 | 地区: JP
NO.169 | 流媒体网速: 21.18 MB/s | IP地址: 103.106.229.173:2053 | 地区: SG
NO.170 | 流媒体网速: 21.12 MB/s | IP地址: 18.182.63.120:443 | 地区: JP
NO.171 | 流媒体网速: 21.09 MB/s | IP地址: 167.172.65.175:443 | 地区: SG
NO.172 | 流媒体网速: 20.99 MB/s | IP地址: 161.33.205.231:443 | 地区: JP
NO.173 | 流媒体网速: 20.98 MB/s | IP地址: 131.143.215.40:443 | 地区: JP
NO.174 | 流媒体网速: 20.88 MB/s | IP地址: 142.91.109.150:443 | 地区: JP
NO.175 | 流媒体网速: 20.86 MB/s | IP地址: 161.33.215.154:443 | 地区: JP
NO.176 | 流媒体网速: 20.82 MB/s | IP地址: 178.128.223.148:443 | 地区: SG
NO.177 | 流媒体网速: 20.81 MB/s | IP地址: 13.193.215.10:443 | 地区: JP
NO.178 | 流媒体网速: 20.79 MB/s | IP地址: 146.190.104.194:443 | 地区: SG
NO.179 | 流媒体网速: 20.77 MB/s | IP地址: 151.145.67.90:8443 | 地区: JP
NO.180 | 流媒体网速: 20.76 MB/s | IP地址: 185.92.47.93:443 | 地区: HK
NO.181 | 流媒体网速: 20.65 MB/s | IP地址: 185.115.207.82:443 | 地区: SG
NO.182 | 流媒体网速: 20.61 MB/s | IP地址: 160.187.141.134:443 | 地区: SG
NO.183 | 流媒体网速: 20.60 MB/s | IP地址: 155.117.224.63:443 | 地区: HK
NO.184 | 流媒体网速: 20.59 MB/s | IP地址: 168.107.56.181:443 | 地区: KR
NO.185 | 流媒体网速: 20.53 MB/s | IP地址: 178.128.92.205:2087 | 地区: SG
NO.186 | 流媒体网速: 20.53 MB/s | IP地址: 131.143.215.160:443 | 地区: JP
NO.187 | 流媒体网速: 20.49 MB/s | IP地址: 161.33.135.140:443 | 地区: JP
NO.188 | 流媒体网速: 20.45 MB/s | IP地址: 133.18.105.95:443 | 地区: JP
NO.189 | 流媒体网速: 20.42 MB/s | IP地址: 142.91.109.150:2053 | 地区: JP
NO.190 | 流媒体网速: 20.39 MB/s | IP地址: 157.230.248.19:443 | 地区: SG
NO.191 | 流媒体网速: 20.36 MB/s | IP地址: 45.59.131.33:443 | 地区: US
NO.192 | 流媒体网速: 20.33 MB/s | IP地址: 45.150.128.159:443 | 地区: TH
NO.193 | 流媒体网速: 20.32 MB/s | IP地址: 185.115.207.149:443 | 地区: SG
NO.194 | 流媒体网速: 20.32 MB/s | IP地址: 152.69.199.75:443 | 地区: JP
NO.195 | 流媒体网速: 20.25 MB/s | IP地址: 167.71.220.89:443 | 地区: SG
NO.196 | 流媒体网速: 20.25 MB/s | IP地址: 142.91.109.197:443 | 地区: JP
NO.197 | 流媒体网速: 20.25 MB/s | IP地址: 18.139.30.198:443 | 地区: SG
NO.198 | 流媒体网速: 20.20 MB/s | IP地址: 129.212.232.220:8443 | 地区: SG
NO.199 | 流媒体网速: 20.08 MB/s | IP地址: 146.56.119.205:443 | 地区: KR
NO.200 | 流媒体网速: 20.05 MB/s | IP地址: 167.71.194.170:443 | 地区: SG
NO.201 | 流媒体网速: 19.94 MB/s | IP地址: 142.91.109.199:443 | 地区: JP
NO.202 | 流媒体网速: 19.82 MB/s | IP地址: 185.200.66.206:443 | 地区: JP
NO.203 | 流媒体网速: 19.82 MB/s | IP地址: 166.88.100.231:443 | 地区: JP
NO.204 | 流媒体网速: 19.80 MB/s | IP地址: 43.247.134.129:443 | 地区: HK
NO.205 | 流媒体网速: 19.77 MB/s | IP地址: 149.118.55.215:2096 | 地区: SG
NO.206 | 流媒体网速: 19.76 MB/s | IP地址: 45.8.186.20:443 | 地区: HK
NO.207 | 流媒体网速: 19.70 MB/s | IP地址: 134.185.99.52:443 | 地区: KR
NO.208 | 流媒体网速: 19.68 MB/s | IP地址: 139.84.156.84:443 | 地区: IN
NO.209 | 流媒体网速: 19.58 MB/s | IP地址: 154.31.114.162:8443 | 地区: JP
NO.210 | 流媒体网速: 19.42 MB/s | IP地址: 149.118.55.215:2053 | 地区: SG
NO.211 | 流媒体网速: 19.39 MB/s | IP地址: 45.95.212.215:443 | 地区: JP
NO.212 | 流媒体网速: 19.35 MB/s | IP地址: 45.192.242.145:443 | 地区: JP
NO.213 | 流媒体网速: 19.35 MB/s | IP地址: 168.110.112.196:8443 | 地区: KR
NO.214 | 流媒体网速: 19.32 MB/s | IP地址: 45.142.125.14:443 | 地区: JP
NO.215 | 流媒体网速: 19.28 MB/s | IP地址: 139.84.150.190:8443 | 地区: IN
NO.216 | 流媒体网速: 19.09 MB/s | IP地址: 45.192.206.31:443 | 地区: JP
NO.217 | 流媒体网速: 19.08 MB/s | IP地址: 103.195.188.206:443 | 地区: SG
NO.218 | 流媒体网速: 19.06 MB/s | IP地址: 140.245.104.189:443 | 地区: SG
NO.219 | 流媒体网速: 19.06 MB/s | IP地址: 158.51.109.130:443 | 地区: JP
NO.220 | 流媒体网速: 19.02 MB/s | IP地址: 150.230.206.130:443 | 地区: JP
NO.221 | 流媒体网速: 18.95 MB/s | IP地址: 139.84.174.65:443 | 地区: IN
NO.222 | 流媒体网速: 18.89 MB/s | IP地址: 168.110.121.126:8443 | 地区: KR
NO.223 | 流媒体网速: 18.79 MB/s | IP地址: 134.185.112.134:443 | 地区: KR
NO.224 | 流媒体网速: 18.68 MB/s | IP地址: 209.33.166.199:443 | 地区: HK
NO.225 | 流媒体网速: 18.67 MB/s | IP地址: 139.84.135.130:443 | 地区: IN
NO.226 | 流媒体网速: 18.65 MB/s | IP地址: 47.131.189.221:443 | 地区: SG
NO.227 | 流媒体网速: 18.63 MB/s | IP地址: 139.84.216.50:443 | 地区: IN
NO.228 | 流媒体网速: 18.60 MB/s | IP地址: 34.104.218.57:443 | 地区: JP
NO.229 | 流媒体网速: 18.57 MB/s | IP地址: 178.239.117.27:443 | 地区: JP
NO.230 | 流媒体网速: 18.54 MB/s | IP地址: 18.138.252.84:443 | 地区: SG
NO.231 | 流媒体网速: 18.40 MB/s | IP地址: 54.180.141.246:443 | 地区: KR
NO.232 | 流媒体网速: 18.32 MB/s | IP地址: 134.185.127.173:443 | 地区: KR
NO.233 | 流媒体网速: 18.32 MB/s | IP地址: 103.195.191.118:443 | 地区: SG
NO.234 | 流媒体网速: 18.25 MB/s | IP地址: 13.212.207.124:443 | 地区: SG
NO.235 | 流媒体网速: 18.24 MB/s | IP地址: 45.202.255.198:443 | 地区: JP
NO.236 | 流媒体网速: 18.23 MB/s | IP地址: 166.88.61.187:443 | 地区: HK
NO.237 | 流媒体网速: 18.21 MB/s | IP地址: 167.179.99.0:443 | 地区: JP
NO.238 | 流媒体网速: 18.15 MB/s | IP地址: 166.88.98.239:443 | 地区: JP
NO.239 | 流媒体网速: 18.14 MB/s | IP地址: 108.165.100.62:443 | 地区: HK
NO.240 | 流媒体网速: 18.12 MB/s | IP地址: 129.154.50.72:8443 | 地区: KR
NO.241 | 流媒体网速: 18.10 MB/s | IP地址: 168.93.198.95:443 | 地区: MY
NO.242 | 流媒体网速: 18.07 MB/s | IP地址: 45.207.159.187:443 | 地区: TW
NO.243 | 流媒体网速: 17.86 MB/s | IP地址: 16.76.81.233:443 | 地区: JP
NO.244 | 流媒体网速: 17.76 MB/s | IP地址: 149.118.55.215:8443 | 地区: SG
NO.245 | 流媒体网速: 17.75 MB/s | IP地址: 45.8.173.215:8443 | 地区: JP
NO.246 | 流媒体网速: 17.75 MB/s | IP地址: 80.66.196.203:8443 | 地区: US
NO.247 | 流媒体网速: 17.73 MB/s | IP地址: 178.214.214.53:443 | 地区: JP
NO.248 | 流媒体网速: 17.67 MB/s | IP地址: 165.245.181.78:443 | 地区: SG
NO.249 | 流媒体网速: 17.64 MB/s | IP地址: 43.247.135.181:443 | 地区: HK
NO.250 | 流媒体网速: 17.61 MB/s | IP地址: 43.164.134.99:443 | 地区: KR
NO.251 | 流媒体网速: 17.55 MB/s | IP地址: 161.33.29.51:443 | 地区: JP
NO.252 | 流媒体网速: 17.38 MB/s | IP地址: 103.101.0.73:443 | 地区: HK
NO.253 | 流媒体网速: 17.34 MB/s | IP地址: 108.61.218.27:443 | 地区: US
NO.254 | 流媒体网速: 17.32 MB/s | IP地址: 64.118.159.108:443 | 地区: DE
NO.255 | 流媒体网速: 17.31 MB/s | IP地址: 168.144.68.202:443 | 地区: IN
NO.256 | 流媒体网速: 17.26 MB/s | IP地址: 152.69.229.110:443 | 地区: KR
NO.257 | 流媒体网速: 17.24 MB/s | IP地址: 116.203.58.165:443 | 地区: DE
NO.258 | 流媒体网速: 17.20 MB/s | IP地址: 168.107.40.4:8443 | 地区: KR
NO.259 | 流媒体网速: 17.17 MB/s | IP地址: 172.93.186.166:443 | 地区: SG
NO.260 | 流媒体网速: 17.10 MB/s | IP地址: 178.83.207.31:443 | 地区: HK
NO.261 | 流媒体网速: 17.08 MB/s | IP地址: 109.176.19.174:443 | 地区: SG
NO.262 | 流媒体网速: 17.07 MB/s | IP地址: 217.116.170.165:443 | 地区: SG
NO.263 | 流媒体网速: 16.82 MB/s | IP地址: 45.143.235.81:2053 | 地区: JP
NO.264 | 流媒体网速: 16.74 MB/s | IP地址: 13.250.39.15:443 | 地区: SG
NO.265 | 流媒体网速: 16.74 MB/s | IP地址: 162.4.173.177:443 | 地区: SG
NO.266 | 流媒体网速: 16.62 MB/s | IP地址: 45.63.89.124:443 | 地区: US
NO.267 | 流媒体网速: 16.62 MB/s | IP地址: 154.17.3.200:2053 | 地区: US
NO.268 | 流媒体网速: 16.61 MB/s | IP地址: 167.71.238.69:443 | 地区: IN
NO.269 | 流媒体网速: 16.58 MB/s | IP地址: 45.142.127.22:443 | 地区: JP
NO.270 | 流媒体网速: 16.55 MB/s | IP地址: 16.163.98.204:443 | 地区: HK
NO.271 | 流媒体网速: 16.54 MB/s | IP地址: 141.98.199.148:443 | 地区: SG
NO.272 | 流媒体网速: 16.49 MB/s | IP地址: 167.179.75.237:443 | 地区: JP
NO.273 | 流媒体网速: 16.44 MB/s | IP地址: 45.77.129.201:443 | 地区: JP
NO.274 | 流媒体网速: 16.36 MB/s | IP地址: 18.140.28.73:443 | 地区: SG
NO.275 | 流媒体网速: 16.30 MB/s | IP地址: 45.192.203.153:443 | 地区: JP
NO.276 | 流媒体网速: 16.27 MB/s | IP地址: 122.248.238.214:443 | 地区: SG
NO.277 | 流媒体网速: 16.26 MB/s | IP地址: 149.248.5.85:443 | 地区: US
NO.278 | 流媒体网速: 16.26 MB/s | IP地址: 212.135.215.72:443 | 地区: JP
NO.279 | 流媒体网速: 16.24 MB/s | IP地址: 139.84.168.252:2053 | 地区: IN
NO.280 | 流媒体网速: 16.20 MB/s | IP地址: 144.202.103.142:8443 | 地区: US
NO.281 | 流媒体网速: 16.19 MB/s | IP地址: 45.127.34.59:8443 | 地区: SG
NO.282 | 流媒体网速: 16.19 MB/s | IP地址: 140.82.49.187:8443 | 地区: US
NO.283 | 流媒体网速: 16.18 MB/s | IP地址: 45.92.158.166:443 | 地区: SG
NO.284 | 流媒体网速: 16.17 MB/s | IP地址: 45.66.128.2:443 | 地区: SG
NO.285 | 流媒体网速: 16.13 MB/s | IP地址: 104.238.149.30:443 | 地区: JP
NO.286 | 流媒体网速: 16.12 MB/s | IP地址: 104.207.157.238:8443 | 地区: US
NO.287 | 流媒体网速: 16.08 MB/s | IP地址: 167.179.110.68:8443 | 地区: JP
NO.288 | 流媒体网速: 16.07 MB/s | IP地址: 144.202.111.154:2083 | 地区: US
