==========================================================
     YouTube 专用优选网速排名（第一行最适合看视频）
==========================================================

NO.1 | 流媒体网速: 26.59 MB/s | IP地址: [2a0e:97c0:3f0:1::46e]:443 | 地区: 香港
NO.117 | 流媒体网速: 11.72 MB/s | IP地址: [2001:19f0:6000:34b7:5400:6ff:fe36:5ea9]:443 | 地区: 美国-洛杉矶
NO.118 | 流媒体网速: 11.69 MB/s | IP地址: [2602:fa59:9:57b::1]:443 | 地区: 美国-洛杉矶
NO.119 | 流媒体网速: 11.55 MB/s | IP地址: [2602:fce1:451:1bf::a]:443 | 地区: 美国-洛杉矶
NO.120 | 流媒体网速: 11.14 MB/s | IP地址: [2001:41d0:601:1100::7274]:443 | 地区: 波兰
NO.121 | 流媒体网速: 11.01 MB/s | IP地址: [2a12:bec0:165:28c::]:443 | 地区: 日本
NO.122 | 流媒体网速: 10.97 MB/s | IP地址: [2602:fce1:451:1b8::a]:443 | 地区: 美国-洛杉矶
NO.123 | 流媒体网速: 10.90 MB/s | IP地址: [2a12:bec0:165:3e5::]:443 | 地区: 日本
NO.124 | 流媒体网速: 10.90 MB/s | IP地址: [2607:f130:0:16e::8062:e5a6]:443 | 地区: 美国
NO.125 | 流媒体网速: 10.89 MB/s | IP地址: [2a01:ecc0:1000:1617::2]:443 | 地区: 荷兰
NO.126 | 流媒体网速: 10.78 MB/s | IP地址: [2603:c024:451a:6900:0:43fd:5237:1dd0]:443 | 地区: 新加坡
NO.127 | 流媒体网速: 10.77 MB/s | IP地址: [2602:fa4f:b00:a8a9:9e2b:90c8:daa7:78dd]:443 | 地区: 日本
NO.128 | 流媒体网速: 10.69 MB/s | IP地址: [2400:6180:0:d2:0:2:e0cf:9000]:443 | 地区: 新加坡
NO.129 | 流媒体网速: 10.59 MB/s | IP地址: [2602:f873:10:401:0:1:6c7b:f599]:443 | 地区: 美国-洛杉矶
NO.130 | 流媒体网速: 10.57 MB/s | IP地址: [2602:fce1:424:d9::a]:443 | 地区: 美国-洛杉矶
NO.131 | 流媒体网速: 10.55 MB/s | IP地址: [2001:41d0:701:1100::33c]:443 | 地区: 德国
NO.132 | 流媒体网速: 10.50 MB/s | IP地址: [2602:fce1:451:1ce::a]:443 | 地区: 美国-洛杉矶
NO.133 | 流媒体网速: 10.50 MB/s | IP地址: [2001:19f0:9000:2e1b:5400:6ff:fe5d:69ee]:443 | 地区: MIA
NO.134 | 流媒体网速: 10.44 MB/s | IP地址: [2001:41d0:701:1100::9c9b]:8443 | 地区: 德国
NO.135 | 流媒体网速: 10.25 MB/s | IP地址: [2001:19f0:8001:1c0a:5400:5ff:fe9f:6f2b]:443 | 地区: 美国-西雅图
NO.136 | 流媒体网速: 10.22 MB/s | IP地址: [2001:19f0:6000:2b64:5400:6ff:fe76:4056]:8443 | 地区: 美国-洛杉矶
NO.137 | 流媒体网速: 10.20 MB/s | IP地址: [2603:c030:301:bf00:0:4129:eec1:4d47]:443 | 地区: 香港
NO.138 | 流媒体网速: 10.19 MB/s | IP地址: [2603:c024:450c:e100:98d3:cd09:22f2:409]:443 | 地区: 新加坡
NO.139 | 流媒体网速: 10.05 MB/s | IP地址: [2001:e42:102:1536:160:16:120:16]:443 | 地区: 日本
NO.140 | 流媒体网速: 10.00 MB/s | IP地址: [2607:5300:205:200::a90c]:8443 | 地区: 加拿大-魁北克
NO.141 | 流媒体网速: 9.97 MB/s | IP地址: [2607:f130:0:187:216:3eff:fee4:92ac]:443 | 地区: 美国
NO.142 | 流媒体网速: 9.82 MB/s | IP地址: [2604:a880:4:1d0:0:2:e313:5000]:443 | 地区: 美国-圣何塞
NO.143 | 流媒体网速: 9.80 MB/s | IP地址: [2604:a880:4:1d0:0:2:e312:f000]:443 | 地区: 美国-圣何塞
NO.144 | 流媒体网速: 9.74 MB/s | IP地址: [138.124.37.177]:443 | 地区: MXP
NO.145 | 流媒体网速: 9.71 MB/s | IP地址: [2a12:bec4:1ac0:ab9::]:2087 | 地区: 荷兰
NO.146 | 流媒体网速: 9.70 MB/s | IP地址: [2001:19f0:6001:4c04:5400:6ff:fe8f:e03a]:443 | 地区: 美国-洛杉矶
NO.147 | 流媒体网速: 9.70 MB/s | IP地址: [2001:19f0:6000:33fd:5400:6ff:fe62:d65]:443 | 地区: 美国-洛杉矶
NO.148 | 流媒体网速: 9.66 MB/s | IP地址: [2001:19f0:6000:9769:5400:6ff:fe52:d51f]:443 | 地区: 美国-洛杉矶
NO.149 | 流媒体网速: 9.64 MB/s | IP地址: [2401:c080:1000:2d6b:5400:6ff:fe3a:3253]:443 | 地区: 日本
NO.150 | 流媒体网速: 9.62 MB/s | IP地址: [2a0d:6c2:7:5f::]:8443 | 地区: 美国-圣何塞
NO.151 | 流媒体网速: 9.56 MB/s | IP地址: [2001:19f0:6001:4593:5400:6ff:fe3d:dd6b]:443 | 地区: 美国-洛杉矶
NO.152 | 流媒体网速: 9.55 MB/s | IP地址: [2a01:ecc0:bc0:16::2]:443 | 地区: 德国
NO.153 | 流媒体网速: 9.53 MB/s | IP地址: [2401:c080:1c02:944:5400:6ff:fe96:cfc5]:443 | 地区: 韩国
NO.154 | 流媒体网速: 9.49 MB/s | IP地址: [2604:a880:2:d1:0:1:26b6:c001]:443 | 地区: 美国-圣何塞
NO.155 | 流媒体网速: 9.36 MB/s | IP地址: [2602:fce1:424:67::a]:443 | 地区: 美国-洛杉矶
NO.156 | 流媒体网速: 9.33 MB/s | IP地址: [2602:fce1:451:1d0::a]:8443 | 地区: 美国-洛杉矶
NO.157 | 流媒体网速: 9.32 MB/s | IP地址: [2a01:7c8:aabb:8f:5054:ff:febd:979a]:443 | 地区: 荷兰
NO.158 | 流媒体网速: 9.31 MB/s | IP地址: [2603:c024:4516:b000:0:e182:b454:1b5d]:8443 | 地区: 新加坡
NO.159 | 流媒体网速: 9.29 MB/s | IP地址: [2607:f130:0:10d::e4]:443 | 地区: 美国
NO.160 | 流媒体网速: 9.29 MB/s | IP地址: [2407:3641:2283:2407::1]:443 | 地区: MEL
NO.161 | 流媒体网速: 9.29 MB/s | IP地址: [2001:19f0:7001:5e65:5400:6ff:fe3b:dafb]:443 | 地区: 日本
NO.162 | 流媒体网速: 9.22 MB/s | IP地址: [2602:fa59:5:cc3::1]:443 | 地区: 荷兰
NO.163 | 流媒体网速: 9.20 MB/s | IP地址: [2401:c080:1400:4b33:5400:6ff:fe96:d7dc]:443 | 地区: 新加坡
NO.164 | 流媒体网速: 9.13 MB/s | IP地址: [2a12:bec4:1bb0:1a4b::2]:8443 | 地区: 德国
NO.165 | 流媒体网速: 9.12 MB/s | IP地址: [2a01:ecc0:500:10f::2]:443 | 地区: 荷兰
NO.166 | 流媒体网速: 9.09 MB/s | IP地址: [2602:fce1:424:156::a]:443 | 地区: 美国-洛杉矶
NO.167 | 流媒体网速: 9.04 MB/s | IP地址: [2a01:230:4:de2::2]:2053 | 地区: 德国
NO.168 | 流媒体网速: 9.04 MB/s | IP地址: [2401:c080:3000:4769:5400:6ff:fe7d:a9a]:443 | 地区: 印度
NO.169 | 流媒体网速: 9.04 MB/s | IP地址: [2001:19f0:8001:bf5:5400:6ff:fe16:7b2e]:8443 | 地区: 美国-西雅图
NO.170 | 流媒体网速: 9.04 MB/s | IP地址: [2001:e42:102:1107:153:121:51:228]:443 | 地区: 日本
NO.171 | 流媒体网速: 8.96 MB/s | IP地址: [2602:f873:10:401:0:1:31fe:3439]:8443 | 地区: 美国-洛杉矶
NO.172 | 流媒体网速: 8.93 MB/s | IP地址: [2603:c023:12:747e:0:6487:7c1d:429]:443 | 地区: 日本-大阪
NO.173 | 流媒体网速: 8.90 MB/s | IP地址: [2604:a880:4:1d0:0:2:e313:3000]:443 | 地区: 美国-圣何塞
NO.174 | 流媒体网速: 8.88 MB/s | IP地址: [2603:c021:801f:7f00:0:6f2c:1df1:4ac8]:8443 | 地区: 日本
NO.175 | 流媒体网速: 8.86 MB/s | IP地址: [2602:f873:11:603:0:1:f4a9:937c]:443 | 地区: 美国-洛杉矶
NO.176 | 流媒体网速: 8.80 MB/s | IP地址: [2604:a880:2:d1:0:1:2fad:e001]:443 | 地区: 美国-圣何塞
NO.177 | 流媒体网速: 8.78 MB/s | IP地址: [138.124.28.173]:443 | 地区: 德国
NO.178 | 流媒体网速: 8.73 MB/s | IP地址: [2001:19f0:8001:1670:5400:3ff:fe05:3353]:443 | 地区: 美国-西雅图
NO.179 | 流媒体网速: 8.62 MB/s | IP地址: [2a13:d201:0:d5::1]:8443 | 地区: 波兰
NO.180 | 流媒体网速: 8.53 MB/s | IP地址: [2001:19f0:ac00:3d39:5400:6ff:fe57:222f]:443 | 地区: 美国-圣何塞
NO.181 | 流媒体网速: 8.48 MB/s | IP地址: [2603:c021:800b:c601::7888]:443 | 地区: 日本
NO.182 | 流媒体网速: 8.46 MB/s | IP地址: [2604:a880:4:1d0:0:2:458:8000]:443 | 地区: 美国-圣何塞
NO.183 | 流媒体网速: 8.31 MB/s | IP地址: [2001:19f0:6001:3498:5400:5ff:fedf:882f]:443 | 地区: 美国-洛杉矶
NO.184 | 流媒体网速: 8.28 MB/s | IP地址: [2a02:c207:2338:7511::1]:2087 | 地区: 德国
NO.185 | 流媒体网速: 8.24 MB/s | IP地址: [2604:a880:2:d0::1c2f:8001]:443 | 地区: 美国-圣何塞
NO.186 | 流媒体网速: 8.15 MB/s | IP地址: [2401:c080:1000:2fb9:5400:6ff:fe54:3d79]:443 | 地区: 日本
NO.187 | 流媒体网速: 8.15 MB/s | IP地址: [2a12:bec0:162:4d1::]:443 | 地区: 台湾
NO.188 | 流媒体网速: 8.14 MB/s | IP地址: [2603:c021:8023:d600:0:741c:42b2:d278]:443 | 地区: 日本
NO.189 | 流媒体网速: 8.05 MB/s | IP地址: [2603:c023:8:9000:133c:e491:c918:5765]:443 | 地区: 日本-大阪
NO.190 | 流媒体网速: 8.02 MB/s | IP地址: [2001:41d0:ab05::4:0:724]:2053 | 地区: ZRH
NO.191 | 流媒体网速: 7.99 MB/s | IP地址: [2602:fa59:10:719::1]:8443 | 地区: 美国-洛杉矶
NO.192 | 流媒体网速: 7.98 MB/s | IP地址: [2604:a880:4:1d0:0:2:458:5000]:443 | 地区: 美国-圣何塞
NO.193 | 流媒体网速: 7.97 MB/s | IP地址: [2604:a880:2:d1:0:1:26b6:f001]:443 | 地区: 美国-圣何塞
NO.194 | 流媒体网速: 7.91 MB/s | IP地址: [2602:f873:10:401:0:1:2457:b117]:443 | 地区: 美国-洛杉矶
NO.195 | 流媒体网速: 7.90 MB/s | IP地址: [2001:19f0:4400:7d1f:5400:5ff:fef7:9ff4]:443 | 地区: 新加坡
NO.196 | 流媒体网速: 7.87 MB/s | IP地址: [2001:41d0:ab01::4:0:24d]:2053 | 地区: 比利时
NO.197 | 流媒体网速: 7.86 MB/s | IP地址: [2602:fa59:10:52::1]:443 | 地区: 美国-洛杉矶
NO.198 | 流媒体网速: 7.83 MB/s | IP地址: [2604:a880:4:1d0:0:2:458:6000]:443 | 地区: 美国-圣何塞
NO.199 | 流媒体网速: 7.82 MB/s | IP地址: [2001:41d0:701:1100::d0ad]:443 | 地区: 德国
NO.200 | 流媒体网速: 7.80 MB/s | IP地址: [2604:a880:2:d1:0:1:2fad:b001]:443 | 地区: 美国-圣何塞
NO.201 | 流媒体网速: 7.77 MB/s | IP地址: [2604:a880:4:1d0:0:2:b89d:2000]:443 | 地区: 美国-圣何塞
NO.202 | 流媒体网速: 7.76 MB/s | IP地址: [2607:f130:0:16c:216:3eff:fe19:663]:443 | 地区: 美国
NO.203 | 流媒体网速: 7.76 MB/s | IP地址: [2602:fd37:10a:f2::a]:8443 | 地区: 美国-圣何塞
NO.204 | 流媒体网速: 7.74 MB/s | IP地址: [2604:a880:4:1d0:0:3:842:a000]:443 | 地区: 美国-圣何塞
NO.205 | 流媒体网速: 7.72 MB/s | IP地址: [2604:a880:4:1d0:0:2:e313:4000]:443 | 地区: 美国-圣何塞
NO.206 | 流媒体网速: 7.71 MB/s | IP地址: [2001:41d0:ab02::4:0:46]:2053 | 地区: 荷兰
NO.207 | 流媒体网速: 7.67 MB/s | IP地址: [2602:f873:10:401:0:1:36b4:972a]:8443 | 地区: 美国-洛杉矶
