改版后新加坡--------------
 NO.1 | 流媒体网速: 2.17 MB/s | IP地址: 178.128.90.108:443 | 地区:   
 NO.31 | 流媒体网速: 3.1 MB/s | IP地址: 103.193.172.196:443 | 地区:  ----- 
 NO.32 | 流媒体网速: 3.1 MB/s | IP地址: 207.57.129.55:443 | 地区:   
 NO.33 | 流媒体网速: 3.0 MB/s | IP地址: 91.110.209.53:443 | 地区:   
 NO.34 | 流媒体网速: 3.0 MB/s | IP地址: 45.221.115.3:443 | 地区:   
 NO.35 | 流媒体网速: 3.0 MB/s | IP地址: 2.27.109.236:443 | 地区:   
 NO.36 | 流媒体网速: 2.98 MB/s | IP地址: 91.110.209.79:443 | 地区:   
 NO.37 | 流媒体网速: 2.97 MB/s | IP地址: 91.110.209.50:443 | 地区:   
 NO.38 | 流媒体网速: 2.97 MB/s | IP地址: 91.110.182.7:443 | 地区:   
 NO.39 | 流媒体网速: 2.96 MB/s | IP地址: 91.110.209.111:443 | 地区:   
 NO.40 | 流媒体网速: 2.95 MB/s | IP地址: 91.110.209.44:443 | 地区:   
 NO.41 | 流媒体网速: 2.95 MB/s | IP地址: 103.213.4.57:443 | 地区:   
 NO.42 | 流媒体网速: 2.94 MB/s | IP地址: 143.14.189.170:443 | 地区:   
 NO.43 | 流媒体网速: 2.94 MB/s | IP地址: 91.110.209.55:443 | 地区:   
 NO.44 | 流媒体网速: 2.94 MB/s | IP地址: 91.110.209.47:443 | 地区:   
 NO.45 | 流媒体网速: 2.93 MB/s | IP地址: 143.20.156.163:443 | 地区:   
 NO.46 | 流媒体网速: 2.92 MB/s | IP地址: 68.64.178.42:443 | 地区:   
 NO.47 | 流媒体网速: 2.91 MB/s | IP地址: 91.110.209.65:443 | 地区:   
 NO.48 | 流媒体网速: 2.91 MB/s | IP地址: 219.77.102.238:8443 | 地区:   
 NO.49 | 流媒体网速: 2.91 MB/s | IP地址: 91.110.209.78:443 | 地区:   
 NO.50 | 流媒体网速: 2.91 MB/s | IP地址: 91.110.209.126:443 | 地区:   
 NO.51 | 流媒体网速: 2.89 MB/s | IP地址: 167.148.203.173:443 | 地区:   
 NO.52 | 流媒体网速: 2.89 MB/s | IP地址: 91.110.209.95:443 | 地区:   
 NO.53 | 流媒体网速: 2.89 MB/s | IP地址: 103.193.173.77:2053 | 地区:   
 NO.54 | 流媒体网速: 2.88 MB/s | IP地址: 45.221.113.25:443 | 地区:   
 NO.55 | 流媒体网速: 2.88 MB/s | IP地址: 68.64.182.205:443 | 地区:   
 NO.56 | 流媒体网速: 2.88 MB/s | IP地址: 103.193.172.23:443 | 地区:   
 NO.57 | 流媒体网速: 2.88 MB/s | IP地址: 191.223.208.55:443 | 地区:   
 NO.58 | 流媒体网速: 2.88 MB/s | IP地址: 91.213.186.142:443 | 地区:   
 NO.59 | 流媒体网速: 2.87 MB/s | IP地址: 149.104.31.208:443 | 地区:   
 NO.60 | 流媒体网速: 2.87 MB/s | IP地址: 155.117.224.45:443 | 地区:   
 NO.61 | 流媒体网速: 2.86 MB/s | IP地址: 38.207.178.173:2087 | 地区:   
 NO.62 | 流媒体网速: 2.85 MB/s | IP地址: 163.5.58.140:443 | 地区:   
 NO.63 | 流媒体网速: 2.85 MB/s | IP地址: 167.148.203.107:443 | 地区:   
 NO.64 | 流媒体网速: 2.84 MB/s | IP地址: 155.117.224.193:443 | 地区:   
 NO.65 | 流媒体网速: 2.84 MB/s | IP地址: 154.12.188.161:443 | 地区:   
 NO.66 | 流媒体网速: 2.84 MB/s | IP地址: 91.110.209.84:443 | 地区:   
 NO.67 | 流媒体网速: 2.83 MB/s | IP地址: 91.110.209.77:443 | 地区:   
 NO.68 | 流媒体网速: 2.83 MB/s | IP地址: 154.16.10.93:443 | 地区:   
 NO.69 | 流媒体网速: 2.82 MB/s | IP地址: 91.213.189.4:2087 | 地区:   
 NO.70 | 流媒体网速: 2.82 MB/s | IP地址: 85.121.51.14:2096 | 地区:   
 NO.71 | 流媒体网速: 2.81 MB/s | IP地址: 163.5.58.77:443 | 地区:   
 NO.72 | 流媒体网速: 2.80 MB/s | IP地址: 185.216.118.161:443 | 地区:   
 NO.73 | 流媒体网速: 2.79 MB/s | IP地址: 191.223.212.153:443 | 地区:   
 NO.74 | 流媒体网速: 2.77 MB/s | IP地址: 103.74.192.228:443 | 地区:   
 NO.75 | 流媒体网速: 2.77 MB/s | IP地址: 91.110.209.102:443 | 地区:   
 NO.76 | 流媒体网速: 2.76 MB/s | IP地址: 91.213.186.189:443 | 地区:   
 NO.77 | 流媒体网速: 2.76 MB/s | IP地址: 155.117.224.127:443 | 地区:   
 NO.78 | 流媒体网速: 2.75 MB/s | IP地址: 45.158.230.104:443 | 地区:   
 NO.79 | 流媒体网速: 2.75 MB/s | IP地址: 207.57.134.29:443 | 地区:   
 NO.80 | 流媒体网速: 2.75 MB/s | IP地址: 38.207.175.22:443 | 地区:   
 NO.81 | 流媒体网速: 2.74 MB/s | IP地址: 149.104.5.136:443 | 地区:   
 NO.82 | 流媒体网速: 2.74 MB/s | IP地址: 216.23.93.131:443 | 地区:   
 NO.83 | 流媒体网速: 2.74 MB/s | IP地址: 156.226.168.206:443 | 地区:   
 NO.84 | 流媒体网速: 2.73 MB/s | IP地址: 155.254.122.145:8443 | 地区:   
 NO.85 | 流媒体网速: 2.73 MB/s | IP地址: 43.255.156.132:443 | 地区:   
 NO.86 | 流媒体网速: 2.73 MB/s | IP地址: 91.110.209.64:443 | 地区:   
 NO.87 | 流媒体网速: 2.72 MB/s | IP地址: 45.135.119.123:443 | 地区:   
 NO.88 | 流媒体网速: 2.72 MB/s | IP地址: 103.193.172.164:443 | 地区:   
 NO.89 | 流媒体网速: 2.72 MB/s | IP地址: 68.64.179.129:443 | 地区:   
 NO.90 | 流媒体网速: 2.72 MB/s | IP地址: 103.143.81.150:443 | 地区:   
 NO.91 | 流媒体网速: 2.72 MB/s | IP地址: 45.221.113.40:443 | 地区:   
 NO.92 | 流媒体网速: 2.72 MB/s | IP地址: 143.20.156.116:443 | 地区:   
 NO.93 | 流媒体网速: 2.72 MB/s | IP地址: 207.57.134.179:443 | 地区:   
 NO.94 | 流媒体网速: 2.71 MB/s | IP地址: 91.110.209.63:443 | 地区:   
 NO.95 | 流媒体网速: 2.71 MB/s | IP地址: 155.254.122.234:8443 | 地区:   
 NO.96 | 流媒体网速: 2.70 MB/s | IP地址: 155.254.122.146:8443 | 地区:   
 NO.97 | 流媒体网速: 2.70 MB/s | IP地址: 38.207.174.111:443 | 地区:   
 NO.98 | 流媒体网速: 2.70 MB/s | IP地址: 91.213.174.82:443 | 地区:   
 NO.99 | 流媒体网速: 2.69 MB/s | IP地址: 45.152.67.25:443 | 地区:   
 NO.100 | 流媒体网速: 2.69 MB/s | IP地址: 38.207.185.35:443 | 地区:   
 NO.101 | 流媒体网速: 2.68 MB/s | IP地址: 45.221.115.170:443 | 地区:   
 NO.102 | 流媒体网速: 2.68 MB/s | IP地址: 154.12.177.92:443 | 地区:   
 NO.103 | 流媒体网速: 2.68 MB/s | IP地址: 216.23.93.27:443 | 地区:   
 NO.104 | 流媒体网速: 2.68 MB/s | IP地址: 207.57.123.190:443 | 地区:   
 NO.105 | 流媒体网速: 2.67 MB/s | IP地址: 208.75.133.158:443 | 地区:   
 NO.106 | 流媒体网速: 2.64 MB/s | IP地址: 38.147.171.110:443 | 地区:   
 NO.107 | 流媒体网速: 2.64 MB/s | IP地址: 45.192.204.3:443 | 地区:   
 NO.108 | 流媒体网速: 2.64 MB/s | IP地址: 191.223.208.119:443 | 地区:   
 NO.109 | 流媒体网速: 2.63 MB/s | IP地址: 91.213.174.177:443 | 地区:   
 NO.110 | 流媒体网速: 2.63 MB/s | IP地址: 85.121.51.14:2083 | 地区:   
 NO.111 | 流媒体网速: 2.63 MB/s | IP地址: 38.55.192.202:443 | 地区:   
 NO.112 | 流媒体网速: 2.62 MB/s | IP地址: 156.239.11.208:443 | 地区:   
 NO.113 | 流媒体网速: 2.62 MB/s | IP地址: 154.3.39.129:8443 | 地区:   
 NO.114 | 流媒体网速: 2.62 MB/s | IP地址: 154.3.35.10:443 | 地区:   
 NO.115 | 流媒体网速: 2.62 MB/s | IP地址: 103.158.117.226:443 | 地区:   
 NO.116 | 流媒体网速: 2.61 MB/s | IP地址: 103.118.41.121:443 | 地区:   
 NO.117 | 流媒体网速: 2.60 MB/s | IP地址: 38.207.185.76:443 | 地区:   
 NO.118 | 流媒体网速: 2.59 MB/s | IP地址: 38.207.177.204:443 | 地区:   
 NO.119 | 流媒体网速: 2.59 MB/s | IP地址: 209.33.166.199:443 | 地区:   
 NO.120 | 流媒体网速: 2.58 MB/s | IP地址: 38.207.184.97:443 | 地区:   
 NO.121 | 流媒体网速: 2.58 MB/s | IP地址: 193.134.211.27:443 | 地区:   
 NO.122 | 流媒体网速: 2.57 MB/s | IP地址: 207.57.131.117:443 | 地区:   
 NO.123 | 流媒体网速: 2.57 MB/s | IP地址: 38.55.198.124:2053 | 地区:   
 NO.124 | 流媒体网速: 2.56 MB/s | IP地址: 68.64.183.37:443 | 地区:   
 NO.125 | 流媒体网速: 2.53 MB/s | IP地址: 149.104.25.194:443 | 地区:   
 NO.126 | 流媒体网速: 2.53 MB/s | IP地址: 149.104.30.51:443 | 地区:   
 NO.127 | 流媒体网速: 2.52 MB/s | IP地址: 193.134.211.209:443 | 地区:   
 NO.128 | 流媒体网速: 2.52 MB/s | IP地址: 149.104.29.237:443 | 地区:   
 NO.129 | 流媒体网速: 2.51 MB/s | IP地址: 191.223.212.252:443 | 地区:   
 NO.130 | 流媒体网速: 2.49 MB/s | IP地址: 43.242.33.48:8443 | 地区:   
 NO.131 | 流媒体网速: 2.48 MB/s | IP地址: 43.255.157.65:443 | 地区:   
 NO.132 | 流媒体网速: 2.48 MB/s | IP地址: 193.134.209.123:443 | 地区:   
 NO.133 | 流媒体网速: 2.47 MB/s | IP地址: 38.207.184.41:443 | 地区:   
 NO.134 | 流媒体网速: 2.44 MB/s | IP地址: 149.104.1.117:8443 | 地区:   
 NO.135 | 流媒体网速: 2.43 MB/s | IP地址: 45.192.184.104:443 | 地区:   
 NO.136 | 流媒体网速: 2.42 MB/s | IP地址: 38.207.175.151:443 | 地区:   
 NO.137 | 流媒体网速: 2.42 MB/s | IP地址: 45.221.113.70:443 | 地区:   
 NO.138 | 流媒体网速: 2.41 MB/s | IP地址: 206.237.12.135:443 | 地区:   
 NO.139 | 流媒体网速: 2.36 MB/s | IP地址: 85.121.51.219:443 | 地区:   
 NO.140 | 流媒体网速: 2.36 MB/s | IP地址: 2.27.132.136:443 | 地区:   
 NO.141 | 流媒体网速: 2.35 MB/s | IP地址: 68.64.182.79:443 | 地区:   
 NO.142 | 流媒体网速: 2.31 MB/s | IP地址: 68.64.182.177:443 | 地区:   
 NO.143 | 流媒体网速: 2.30 MB/s | IP地址: 85.121.51.14:2087 | 地区:   
 NO.144 | 流媒体网速: 2.30 MB/s | IP地址: 45.136.14.153:443 | 地区:   
 NO.145 | 流媒体网速: 2.27 MB/s | IP地址: 43.247.132.74:443 | 地区:   
 NO.146 | 流媒体网速: 2.26 MB/s | IP地址: 191.223.213.16:443 | 地区:   
 NO.147 | 流媒体网速: 2.25 MB/s | IP地址: 185.92.47.93:443 | 地区:   
 NO.148 | 流媒体网速: 2.24 MB/s | IP地址: 193.134.209.3:443 | 地区:   
 NO.149 | 流媒体网速: 2.23 MB/s | IP地址: 91.110.209.59:443 | 地区:   
 NO.150 | 流媒体网速: 2.19 MB/s | IP地址: 43.247.132.74:2096 | 地区:   
 NO.151 | 流媒体网速: 2.16 MB/s | IP地址: 103.135.250.115:8443 | 地区:   
 NO.152 | 流媒体网速: 2.16 MB/s | IP地址: 103.214.174.40:443 | 地区:   
 NO.153 | 流媒体网速: 2.16 MB/s | IP地址: 206.237.31.197:443 | 地区:   
 NO.154 | 流媒体网速: 2.16 MB/s | IP地址: 103.143.81.178:443 | 地区:   
 NO.155 | 流媒体网速: 2.14 MB/s | IP地址: 155.254.122.238:8443 | 地区:   
 NO.156 | 流媒体网速: 2.14 MB/s | IP地址: 91.110.174.222:8443 | 地区:   
 NO.157 | 流媒体网速: 2.13 MB/s | IP地址: 38.55.195.57:8443 | 地区:   
 NO.158 | 流媒体网速: 2.13 MB/s | IP地址: 151.243.229.150:443 | 地区:   
 NO.159 | 流媒体网速: 2.9 MB/s | IP地址: 43.247.132.74:2053 | 地区:   
 NO.160 | 流媒体网速: 2.8 MB/s | IP地址: 85.121.245.35:443 | 地区:   
 NO.161 | 流媒体网速: 2.8 MB/s | IP地址: 64.90.11.233:2053 | 地区:   
 NO.162 | 流媒体网速: 2.7 MB/s | IP地址: 38.55.195.57:443 | 地区:   
 NO.163 | 流媒体网速: 2.7 MB/s | IP地址: 175.29.23.34:443 | 地区:   
 NO.164 | 流媒体网速: 2.7 MB/s | IP地址: 91.110.209.57:443 | 地区:   
 NO.165 | 流媒体网速: 2.5 MB/s | IP地址: 191.223.216.120:443 | 地区:   
 NO.166 | 流媒体网速: 2.4 MB/s | IP地址: 91.213.189.132:443 | 地区:   
 NO.167 | 流媒体网速: 2.4 MB/s | IP地址: 175.29.23.179:443 | 地区:   
 NO.168 | 流媒体网速: 2.4 MB/s | IP地址: 85.121.51.205:443 | 地区:   
 NO.169 | 流媒体网速: 2.2 MB/s | IP地址: 45.152.65.100:443 | 地区:   
 NO.170 | 流媒体网速: 2.2 MB/s | IP地址: 103.158.117.179:443 | 地区:   
 NO.171 | 流媒体网速: 2.1 MB/s | IP地址: 175.29.23.46:443 | 地区:   
 NO.172 | 流媒体网速: 2.0 MB/s | IP地址: 175.29.23.138:443 | 地区:   
 NO.173 | 流媒体网速: 2.0 MB/s | IP地址: 151.158.0.104:443 | 地区:   
 NO.174 | 流媒体网速: 1.97 MB/s | IP地址: 103.30.78.52:443 | 地区:   
 NO.175 | 流媒体网速: 1.96 MB/s | IP地址: 23.27.96.28:443 | 地区:   
 NO.176 | 流媒体网速: 1.93 MB/s | IP地址: 82.22.31.116:443 | 地区:   
 NO.177 | 流媒体网速: 1.92 MB/s | IP地址: 108.165.255.145:443 | 地区:   
 NO.178 | 流媒体网速: 1.90 MB/s | IP地址: 23.140.244.128:8443 | 地区:   



改版后台湾越南-----------------
 
 NO.1 | 流媒体网速: 2.7 MB/s | IP地址: 154.40.60.193:443 | 地区: TW  
 NO.2 | 流媒体网速: 2.6 MB/s | IP地址: 203.69.11.81:443 | 地区: TW  
 NO.3 | 流媒体网速: 2.6 MB/s | IP地址: 151.242.189.184:443 | 地区: TW  
 NO.4 | 流媒体网速: 1.99 MB/s | IP地址: 220.132.74.165:443 | 地区: TW  
 NO.5 | 流媒体网速: 1.98 MB/s | IP地址: 188.253.6.249:443 | 地区: TW  
 NO.6 | 流媒体网速: 1.94 MB/s | IP地址: 211.72.147.91:443 | 地区: TW  
 NO.7 | 流媒体网速: 1.94 MB/s | IP地址: 203.69.11.80:443 | 地区: TW  
 NO.8 | 流媒体网速: 1.91 MB/s | IP地址: 203.69.11.79:443 | 地区: TW  
 NO.9 | 流媒体网速: 1.78 MB/s | IP地址: 78.105.183.11:8443 | 地区: TW  
 NO.10 | 流媒体网速: 1.69 MB/s | IP地址: 85.237.207.126:443 | 地区: TW  
 NO.11 | 流媒体网速: 1.58 MB/s | IP地址: 103.15.91.174:443 | 地区: VN  
 NO.12 | 流媒体网速: 1.46 MB/s | IP地址: 103.70.115.106:8443 | 地区: VN  
 NO.13 | 流媒体网速: 1.41 MB/s | IP地址: 213.210.4.238:443 | 地区: TW  
 NO.14 | 流媒体网速: 1.41 MB/s | IP地址: 83.147.13.49:443 | 地区: TW  
 NO.15 | 流媒体网速: 1.39 MB/s | IP地址: 114.32.9.249:443 | 地区: TW  
 NO.16 | 流媒体网速: 1.36 MB/s | IP地址: 45.192.203.120:8443 | 地区: TW  
 NO.17 | 流媒体网速: 1.29 MB/s | IP地址: 142.249.60.51:443 | 地区: TW  
 NO.18 | 流媒体网速: 1.27 MB/s | IP地址: 82.152.91.210:443 | 地区: TW  
 NO.19 | 流媒体网速: 1.17 MB/s | IP地址: 140.235.38.47:443 | 地区: TW  
 NO.20 | 流媒体网速: 1.13 MB/s | IP地址: 160.191.51.205:443 | 地区: VN 

终极美国---------------
 
 NO.1 | 流媒体网速: 1.40 MB/s | IP地址: 156.231.115.246:443 | 地区: US  
 NO.2 | 流媒体网速: 1.18 MB/s | IP地址: 179.253.240.26:443 | 地区: US  
 NO.3 | 流媒体网速: 1.17 MB/s | IP地址: 179.253.232.196:443 | 地区: US  
 NO.4 | 流媒体网速: 1.16 MB/s | IP地址: 64.186.227.136:443 | 地区: US  
 NO.5 | 流媒体网速: 1.16 MB/s | IP地址: 154.17.21.248:443 | 地区: US  
 NO.6 | 流媒体网速: 1.16 MB/s | IP地址: 179.255.104.49:443 | 地区: US  
 NO.7 | 流媒体网速: 1.16 MB/s | IP地址: 179.253.240.95:443 | 地区: US  
 NO.8 | 流媒体网速: 1.16 MB/s | IP地址: 179.255.112.117:443 | 地区: US  
 NO.9 | 流媒体网速: 1.15 MB/s | IP地址: 179.255.108.120:443 | 地区: US  
 NO.10 | 流媒体网速: 1.15 MB/s | IP地址: 179.255.113.38:443 | 地区: US  
 NO.11 | 流媒体网速: 1.15 MB/s | IP地址: 64.186.241.132:443 | 地区: US  
 NO.12 | 流媒体网速: 1.15 MB/s | IP地址: 64.186.229.104:443 | 地区: US  
 NO.13 | 流媒体网速: 1.14 MB/s | IP地址: 179.253.241.80:443 | 地区: US  
 NO.14 | 流媒体网速: 1.14 MB/s | IP地址: 179.255.157.52:443 | 地区: US  
 NO.15 | 流媒体网速: 1.14 MB/s | IP地址: 64.186.239.66:443 | 地区: US  
 NO.16 | 流媒体网速: 1.14 MB/s | IP地址: 154.36.132.203:443 | 地区: US  
 NO.17 | 流媒体网速: 1.13 MB/s | IP地址: 179.255.124.250:443 | 地区: US  
 NO.18 | 流媒体网速: 1.13 MB/s | IP地址: 154.17.233.72:8443 | 地区: US  
 NO.19 | 流媒体网速: 1.13 MB/s | IP地址: 179.255.152.217:443 | 地区: US  
 NO.20 | 流媒体网速: 1.13 MB/s | IP地址: 64.186.249.169:2053 | 地区: US  
 NO.21 | 流媒体网速: 1.12 MB/s | IP地址: 179.255.112.17:443 | 地区: US  
 NO.22 | 流媒体网速: 1.12 MB/s | IP地址: 179.255.112.233:443 | 地区: US  
 NO.23 | 流媒体网速: 1.12 MB/s | IP地址: 38.55.111.161:443 | 地区: US  
 NO.24 | 流媒体网速: 1.12 MB/s | IP地址: 64.186.239.93:443 | 地区: US  
 NO.25 | 流媒体网速: 1.12 MB/s | IP地址: 179.253.229.116:443 | 地区: US  
 NO.26 | 流媒体网速: 1.12 MB/s | IP地址: 179.253.224.191:443 | 地区: US  
 NO.27 | 流媒体网速: 1.11 MB/s | IP地址: 179.255.97.43:443 | 地区: US  
 NO.28 | 流媒体网速: 1.11 MB/s | IP地址: 179.255.116.102:443 | 地区: US  
